и вероятно к этой пустынной  1
человеческой жизни и вообще на  1
по лужам протянулись ледяные иглы  1
нужно вести к допросу и  1
время заливным лугом по тропинке  1
и при петре и что  1
ожидание счастья неведомого таинственного счастья  1
вдова василиса высокая пухлая старуха  1
спросил  небось была на  1
ее дочь смутилась то очевидно  1
имеет отношение к настоящему   1
когда стемнело в лесу некстати  1
старуха в мужском полушубке стояла  1
рукавом лицо от огня как  1
пухлая старуха в мужском полушубке  1
один из них верхом на  1
думал о василисе если она  1
чувство гнета  все эти  1
же дырявые соломенные крыши невежество  1
он третий раз отрекся и  1
я готов и в темницу  1
глядя неподвижно на студента покраснела  1
лучше и ему не хотелось  1
жутко и оттого вечерние потемки  1
что находились около огня должно  1
реке поили лошадей  вот  1
потому что она всем своим  1
и ложки очевидно только что  1
рассказывать а потому что петр  1
ним в саду?» он третий  1
и потом поднимаясь на гору  1
вздохнул и задумался продолжая улыбаться  1
бог с тобой  сказала  1
кашлял по случаю страстной пятницы  1
уже не было видно людей  1
холодный пронизывающий ветер всё смолкло  1
своих слез а лукерья глядя  1
чтобы перевести дух прошлое думал  1
на минуту чтобы перевести дух  1
воздухе раскатисто и весело но  1
реки светился огонь далеко же  1
стемнело в лесу некстати подул  1
жизнь не станет лучше и  1
что видел оба конца этой  1
пронизывающий ветер всё смолкло по  1
же лютая бедность голод такие  1
заплакала то не потому что  1
возле него уже не было  1
всем порядок и согласие что  1
саду и во дворе первосвященника  1
у человека который сдерживает сильную  1
голоса это здешние работники на  1
по щекам и она заслонила  1
дому его мать сидя в  1
на свою родную деревню и  1
продолжал он  иисуса стали  1
заволновалась в его душе и  1
только щурилась на студента и  1
всё происходившее в ту страшную  1
молчала и выражение у нее  1
босая чистила самовар а отец  1
к настоящему  к обеим  1
огонь ее дочь лукерья маленькая  1
и петр взглянув издали на  1
только что рассказывал что происходило  1
иван великопольский студент духовной академии  1
ему не хотелось домой огороды  1
устремила неподвижный взгляд на студента  1
нее стало тяжелым напряженным как  1
не сходила мягкая степенная улыбка  1
назад имеет отношение к настоящему  1
тропинке у него закоченели пальцы  1
кто-то обратился к нему «да  1
лукерья глядя неподвижно на студента  1
антон чехов студент погода вначале  1
полу босая чистила самовар а  1
был уже близко и свет  1
в холодную ночь грелся у  1
 к обеим женщинам и  1
ужасное шел вслед он страстно  1
побороть сна спал потом ты  1
сенях на полу босая чистила  1
из другого и ему казалось  1
дома ничего не варили и  1
сидя в сенях на полу  1
лукерья оставила ложки и устремила  1
я теперь одна женщина увидев  1
и стали зябнуть руки дул  1
деревне к нему самому ко  1
точно так же в холодную  1
ночь с петром имеет к  1
по случаю страстной пятницы дома  1
особенно мрачно только на вдовьих  1
заслонила рукавом лицо от огня  1
его мучителям его связанного вели  1
природе жутко и оттого вечерние  1
свет от костра дрожал на  1
как его били лукерья оставила  1
к первосвященнику  продолжал он  1
он даже остановился на минуту  1
молился а бедный петр истомился  1
ты трижды отречешься что не  1
и в третий раз кто-то  1
было холодно и грелись с  1
и кашлял по случаю страстной  1
иисусом» то есть что и  1
цепи дотронулся до одного конца  1
он посмотрел кругом на потемки  1
о василисе если она заплакала  1
то очевидно то о чем  1
евангелии сказано «и исшед вон  1
что послезавтра пасха теперь студент  1
быстрей чем надо кругом было  1
веки у него отяжелели и  1
вдовы мать и дочь костер  1
где узкою полосой светилась холодная  1
зима пришла назад  сказал  1
нарушил во всем порядок и  1
 пришли к первосвященнику   1
том что точно такой же  1
пошел со двора и горько-горько  1
в евангелии сказано «и исшед  1
женщинам и вероятно к этой  1
людям если старуха заплакала то  1
вслед он страстно без памяти  1
смолкло по лужам протянулись ледяные  1
сгустились быстрей чем надо кругом  1
зимой иван великопольский студент духовной  1
наступили потемки и стали зябнуть  1
что при них была точно  1
страшную ночь с петром имеет  1
в ту же ночь поцеловал  1
холодно ах какая то была  1
всегда составляли главное в человеческой  1
он страстно без памяти любил  1
пришла назад  сказал студент  1
дрозды и по соседству в  1
руки  значит и тогда  1
тяжелым напряженным как у человека  1
боль работники возвращались с реки  1
как у человека который сдерживает  1
отрекся и после этого раза  1
реки и один из них  1
согласие что самой природе жутко  1
четыре всё сплошь утопало в  1
он связано с настоящим непрерывною  1
отношение к настоящему  к  1
ничего не варили и мучительно  1
сказал ему на вечери вспомнил  1
в холодной вечерней мгле студент  1
василиса женщина бывалая служившая когда-то  1
костра стоял петр и тоже  1
тишине едва слышатся глухие рыдания  1
разгорелось от ветра лицо ему  1
прозвучал в весеннем воздухе раскатисто  1
на смерть» а господь ему  1
от огня как бы стыдясь  1
узнал в нем одного из  1
пальцы и разгорелось от ветра  1
и в тишине едва слышатся  1
в ту страшную ночь с  1
самой природе жутко и оттого  1
продолжая улыбаться василиса вдруг всхлипнула  1
глухо и нелюдимо запахло зимой  1
предал его мучителям его связанного  1
что если василиса заплакала а  1
была деревня версты за четыре  1
нему «да не тебя ли  1
а господь ему на это  1
все работники что находились около  1
было пустынно и как-то особенно  1
в тишине едва слышатся глухие  1
«и исшед вон плакася горько»  1
пустынно и как-то особенно мрачно  1
ночь он посмотрел кругом на  1
изнеможенный замученный тоской и тревогой  1
помнишь во время тайной вечери  1
жизнь там в саду и  1
него закоченели пальцы и разгорелось  1
ее всё время не сходила  1
через реку и потом поднимаясь  1
ему восхитительной чудесной и полной  1
отяжелели и он никак не  1
мамках а потом няньках выражалась  1
ночь бабушка до чрезвычайности унылая  1
весело но когда стемнело в  1
она  богатым быть поговорили  1
лукерья деревенская баба забитая мужем  1
раз кто-то обратился к нему  1
было холодно ах какая то  1
и нелюдимо запахло зимой иван  1
своим существом заинтересована в том  1
на вдовьих огородах около реки  1
кругом было пустынно и как-то  1
до сего дня и по-видимому  1
на пароме через реку и  1
ложки очевидно только что отужинали  1
как дрогнул другой а когда  1
при петре и что при  1
и выражение у нее стало  1
первосвященника продолжались непрерывно до сего  1
самовар а отец лежал на  1
страшная ночь бабушка до чрезвычайности  1
у него отяжелели и он  1
взгляд на студента  пришли  1
сказал иисусу «с тобою я  1
кругом мрак чувство гнета   1
выстрел по нем прозвучал в  1
ему казалось что он только  1
и с лица ее всё  1
и в темницу и на  1
 года  и невыразимо  1
когда он уходил из дому  1
было похоже что послезавтра пасха  1
рассказывал что происходило девятнадцать веков  1
стало тяжелым напряженным как у  1
нем одного из учеников иисуса  1
трижды отречешься что не знаешь  1
потекли у нее по щекам  1
к огню руки  значит  1
иглы и стало в лесу  1
и во дворе первосвященника продолжались  1
порядок и согласие что самой  1
земле и чувство молодости здоровья  1
он  иисуса стали допрашивать  1
вспаханную землю вдова василиса высокая  1
тотчас же запел петух и  1
петра и радость вдруг заволновалась  1
холод нарушил во всем порядок  1
что их содержали две вдовы  1
там где была деревня версты  1
в саду и во дворе  1
очевидно то о чем он  1
чрезвычайности унылая длинная ночь он  1
него потому что он смутился  1
ее лукерья деревенская баба забитая  1
его и улыбнулась приветливо   1
овладевали им мало-помалу и жизнь  1
две вдовы мать и дочь  1
обеим женщинам и вероятно к  1
понимаешь ли не выспавшийся предчувствуя  1
в человеческой жизни и вообще  1
и сказал «и ты из  1
отужинали слышались мужские голоса это  1
тысяча лет жизнь не станет  1
шел вслед он страстно без  1
ах какая то была страшная  1
мгле студент вспомнил что когда  1
потому что их содержали две  1
хотелось домой огороды назывались вдовьими  1
когда-то у господ в мамках  1
лицом сидела на земле и  1
после вечери иисус смертельно тосковал  1
этот был с иисусом» то  1
и невыразимо сладкое ожидание счастья  1
соломенные крыши невежество тоска такая  1
мучительно хотелось есть и теперь  1
двенадцати евангелиях  была   1
тем временем развели среди двора  1
него уже не было видно  1
забитая мужем только щурилась на  1
огонь спокойно мигал в темноте  1
на гору глядел на свою  1
а потому что петр ей  1
нелюдимо запахло зимой иван великопольский  1
человеческую жизнь там в саду  1
подозрительно и сурово поглядели на  1
и как-то особенно мрачно только  1
огня должно быть подозрительно и  1
не знаю его» немного погодя  1
потемки и стали зябнуть руки  1
же запел петух и петр  1
о том что правда и  1
темноте и возле него уже  1
василиса  если помнишь во  1
пустую бутылку протянул один вальдшнеп  1
заря то думал о том  1
на земле и чувство молодости  1
же ветер дул и при  1
сего дня и по-видимому всегда  1
видел издали как его били  1
ему на это «говорю тебе  1
мрачно только на вдовьих огородах  1
холодной вечерней мгле студент вспомнил  1
лицо от огня как бы  1
этой цепи дотронулся до одного  1
голод такие же дырявые соломенные  1
студент протягивая к огню руки  1
иисуса и сказал «и ты  1
от костра дрожал на нем  1
холодную ночь грелся у костра  1
лет жизнь не станет лучше  1
она заплакала то значит всё  1
огню руки  значит и  1
старуха заплакала то не потому  1
смерть» а господь ему на  1
возле и в раздумье глядела  1
гнета  все эти ужасы  1
сдерживает сильную боль работники возвращались  1
узнала его и улыбнулась приветливо  1
вести к допросу и все  1
около костра стоял петр и  1
пятницы дома ничего не варили  1
минуту чтобы перевести дух прошлое  1
к нему «да не тебя  1
руки дул жестокий ветер в  1
заливным лугом по тропинке у  1
раздумье глядела на огонь ее  1
и согласие что самой природе  1
и тревогой понимаешь ли не  1
чем надо кругом было пустынно  1
он сказал ему на вечери  1
глухонемой  точно так же  1
кричали дрозды и по соседству  1
я видел с ним в  1
со двора и горько-горько заплакал  1
него отяжелели и он никак  1
задумался продолжая улыбаться василиса вдруг  1
улыбнулась приветливо  не узнала  1
с треском освещая далеко кругом  1
видел с ним в саду?»  1
котел и ложки очевидно только  1
таинственного счастья овладевали им мало-помалу  1
дворе первосвященника продолжались непрерывно до  1
при рюрике и при иоанне  1
первосвященнику  продолжал он   1
быть поговорили василиса женщина бывалая  1
другой а когда он переправлялся  1
допросу и все работники что  1
памяти любил иисуса и теперь  1
опять подумал что если василиса  1
странное как у глухонемой   1
костра апостол петр  сказал  1
погодя опять кто-то узнал в  1
никак не мог побороть сна  1
и оттого вечерние потемки сгустились  1
лугом по тропинке у него  1
подул с востока холодный пронизывающий  1
академии сын дьячка возвращаясь с  1
время тайной вечери петр сказал  1
домой шел всё время заливным  1
петух как ты трижды отречешься  1
вообще на земле и чувство  1
как-то особенно мрачно только на  1
не хотелось домой огороды назывались  1
у нее стало тяжелым напряженным  1
бедный петр истомился душой ослабел  1
вели к первосвященнику и били  1
тайной вечери петр сказал иисусу  1
богатым быть поговорили василиса женщина  1
учеников иисуса и сказал «и  1
на потемки судорожно встряхнул головой  1
было только  года   1
заплакал в евангелии сказано «и  1
лежал на печи и кашлял  1
петр взглянув издали на иисуса  1
без памяти любил иисуса и  1
кругом на потемки судорожно встряхнул  1
чехов студент погода вначале была  1
трогательно рассказывать а потому что  1
этой пустынной деревне к нему  1
нее было странное как у  1
в весеннем воздухе раскатисто и  1
господ в мамках а потом  1
с тобой  сказала она  1
вздрогнула но тотчас же узнала  1
красота направлявшие человеческую жизнь там  1
непрерывно до сего дня и  1
деле возвращалась зима и не  1
ветер всё смолкло по лужам  1
бы стыдясь своих слез а  1
двора и горько-горько заплакал в  1
увидев его сказала «и этот  1
только на вдовьих огородах около  1
ей близок и потому что  1
к нему самому ко всем  1
внезапно наступивший холод нарушил во  1
потом няньках выражалась деликатно и  1
на огонь ее дочь лукерья  1
тотчас же узнала его и  1
невыразимо сладкое ожидание счастья неведомого  1
домой огороды назывались вдовьими потому  1
петром имеет к ней какое-то  1
думал о том что правда  1
издали как его били лукерья  1
напряженным как у человека который  1
дотронулся до одного конца как  1
поцеловал иисуса и предал его  1
сказал студент подходя к костру  1
остановился на минуту чтобы перевести  1
